Teste;Parceiro;Data da Analise;Periodo do Teste;Vencedor;ROI do Vencedor;Lucro Total do Vencedor;Decisao;Descricao
Parceiro A - Real Test;Parceiro A;2026-06-11 11:08:30;2011-01-01 a 2011-04-02;Grupo 1;173.4%;R$ 404.711,00;Manter o Controle (Grupo 1) em 100%;Análise do teste real A/B de cashback do Parceiro A | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e ren...
Parceiro B - Real Test;Parceiro B;2026-06-11 11:09:34;2011-05-01 a 2011-06-30;Grupo 1;175.0%;R$ 286.570,00;Manter o Controle (Grupo 1) em 100%;Análise do teste real A/B de cashback do Parceiro B | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e ren...
Parceiro C - Real Test;Parceiro C;2026-06-11 11:09:58;2011-07-01 a 2011-08-14;Grupo 1;40.0%;R$ 34.769,00;Manter o Controle (Grupo 1) em 100%;Análise do teste real A/B de cashback do Parceiro C | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e ren...
Teste A/B Parceiro A;Parceiro A;2026-06-11 11:22:59;2011-01-01 a 2011-04-02;Grupo 1;173.4%;R$ 404.711,00;Manter o Controle (Grupo 1) em 100%;Análise automatizada de teste A/B de cashback. | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e ren...
Teste A/B Parceiro A;Parceiro A;2026-06-11 14:08:58;2011-01-01 a 2011-04-02;Grupo 1;173.4%;R$ 404.711,00;Manter o Controle (Grupo 1) em 100%;Análise automatizada de teste A/B de cashback. | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e ren...
Teste Cashback;Parceiro A;2026-06-11 14:32:06;2011-01-01 a 2011-04-02;Grupo 1;173.4%;R$ 404.711,00;Manter o Controle (Grupo 1) em 100%;Avaliação de aumento de cashback para otimização de lucro líquido. | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e rentável é manter o grupo de controle.
Teste A/B Parceiro A;Parceiro A;2026-06-11 15:14:54;2011-01-01 a 2011-04-02;Grupo 1;173.4%;R$ 404.711,00;Manter o Controle (Grupo 1) em 100%;Validação de cashback na planilha | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e ren...
Teste A/B Parceiro B;Parceiro B;2026-06-11 15:15:23;2011-05-01 a 2011-06-30;Grupo 1;175.0%;R$ 286.570,00;Manter o Controle (Grupo 1) em 100%;Validação do Parceiro B no Sheets | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e ren...
Teste A/B Parceiro C;Parceiro C;2026-06-11 15:15:47;2011-07-01 a 2011-08-14;Grupo 1;40.0%;R$ 34.769,00;Manter o Controle (Grupo 1) em 100%;Validação do Parceiro C no Sheets | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e ren...
Teste Cashback;Parceiro A;2026-06-11 15:21:32;2011-01-01 a 2011-04-02;Grupo 1;173.4%;R$ 404.711,00;Manter o Controle (Grupo 1) em 100%;Avaliação de aumento de cashback para otimização de lucro líquido. | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e rentável é manter o grupo de controle.
Teste Cashback;Parceiro A;2026-06-11 15:27:11;2011-01-01 a 2011-04-02;Grupo 1;173.4%;R$ 404.711,00;Manter o Controle (Grupo 1) em 100%;Avaliação de aumento de cashback para otimização de lucro líquido. | Nenhuma das variantes de tratamento superou o grupo de controle em lucro líquido total ou apresentou ROI sustentável. Portanto, a recomendação mais segura e rentável é manter o grupo de controle.
